 3395	2018-07-04 12:01:23	11	2	1	0
 1102	2018-07-04 12:01:30	11	2	1	0
 1103	2018-07-04 12:01:34	11	2	1	0
 3238	2018-07-04 12:01:42	11	2	1	0
 3102	2018-07-04 12:01:47	11	2	1	0
 3234	2018-07-04 12:01:54	11	0	1	0
 3247	2018-07-04 12:02:00	11	0	1	0
 3031	2018-07-04 12:02:07	11	2	1	0
 3000	2018-07-04 12:02:16	11	2	1	0
 3240	2018-07-04 12:02:24	11	2	1	0
 3047	2018-07-04 12:02:30	11	2	1	0
 3041	2018-07-04 12:02:45	11	0	1	0
 3239	2018-07-04 12:02:49	11	0	1	0
 3184	2018-07-04 12:02:54	11	0	1	0
 3015	2018-07-04 12:03:54	11	2	1	0
 1339	2018-07-04 12:04:00	11	0	1	0
 3229	2018-07-04 12:04:06	11	0	1	0
 3251	2018-07-04 12:04:11	11	0	1	0
 3254	2018-07-04 12:04:38	11	0	1	0
 3126	2018-07-04 12:07:01	11	0	1	0
 3190	2018-07-04 12:07:10	11	2	1	0
 3220	2018-07-04 12:07:19	11	2	1	0
 3179	2018-07-04 12:07:25	11	0	1	0
 3145	2018-07-04 12:07:32	11	0	1	0
 3011	2018-07-04 12:09:35	11	0	1	0
 3014	2018-07-04 12:10:19	11	2	1	0
 3017	2018-07-04 12:13:07	11	2	1	0
 1104	2018-07-04 12:13:40	11	2	1	0
 3238	2018-07-04 12:17:33	11	0	1	0
 3234	2018-07-04 12:17:41	11	0	1	0
 3102	2018-07-04 12:17:49	11	0	1	0
 3247	2018-07-04 12:18:00	11	0	1	0
 3000	2018-07-04 12:18:10	11	0	1	0
 3104	2018-07-04 12:18:41	11	0	1	0
 3015	2018-07-04 12:21:44	11	3	1	0
 3047	2018-07-04 12:24:22	11	0	1	0
 3211	2018-07-04 12:27:20	11	0	1	0
 3231	2018-07-04 12:27:52	11	0	1	0
 3204	2018-07-04 12:28:00	11	2	1	0
 3184	2018-07-04 12:28:21	11	0	1	0
 3240	2018-07-04 12:30:29	11	3	1	0
 3030	2018-07-04 12:31:14	11	2	1	0
 3395	2018-07-04 12:32:31	11	3	1	0
 3031	2018-07-04 12:33:22	11	3	1	0
 3239	2018-07-04 12:35:47	11	0	1	0
 3254	2018-07-04 12:36:04	11	0	1	0
 3014	2018-07-04 12:38:04	11	3	1	0
 1104	2018-07-04 12:38:59	11	3	1	0
 3145	2018-07-04 12:39:39	11	0	1	0
 3126	2018-07-04 12:40:02	11	0	1	0
 3190	2018-07-04 12:40:58	11	3	1	0
 3220	2018-07-04 12:41:05	11	3	1	0
 3179	2018-07-04 12:41:10	11	3	1	0
 3011	2018-07-04 12:41:28	11	0	1	0
 3251	2018-07-04 12:42:19	11	0	1	0
 1103	2018-07-04 12:42:33	11	0	1	0
